rep,subj_n,b3,parameter,Estimate,Est.Error,Q2.5,Q97.5
1,500,0.2,Intercept,-0.092856050352075,0.06775365540503261,-0.21436665000000002,0.05595531750000006
1,500,0.2,agentd,0.16467550468,0.041290524834795825,0.085526325,0.2461987
1,500,0.2,mat2v1,-0.365289349,0.0319828922761339,-0.428178825,-0.30289015
1,500,0.2,mat3v1,0.1677368142,0.019446231220910458,0.13114409999999999,0.20619745000000003
2,500,0.2,Intercept,-0.02403923670875,0.06567484775775752,-0.14987679999999998,0.10782347500000002
2,500,0.2,agentd,0.205249993025,0.039098664026711735,0.1283786,0.2807083
2,500,0.2,mat2v1,-0.43756362675,0.032838154865661676,-0.5011244499999999,-0.37345492500000005
2,500,0.2,mat3v1,0.19387910675,0.019831079718955275,0.15576815,0.2331499
3,500,0.2,Intercept,0.02702774096804,0.056760887539628574,-0.0890896025,0.13808695000000004
3,500,0.2,agentd,0.1609677185,0.03976972176276796,0.0816922075,0.23681992500000001
3,500,0.2,mat2v1,-0.37997525575,0.03238301763829589,-0.4428303,-0.31547905
3,500,0.2,mat3v1,0.1543401181,0.019059608169367488,0.11744494999999999,0.192016325
4,500,0.2,Intercept,-0.1374179591325,0.04875660216694733,-0.215234575,-0.020470857499999984
4,500,0.2,agentd,0.16473246475,0.0418761171233099,0.08434839250000001,0.24723715000000002
4,500,0.2,mat2v1,-0.34108374375,0.032029371752179216,-0.4040098,-0.27717249999999993
4,500,0.2,mat3v1,0.1926685735,0.019239644306544713,0.155771425,0.229458575
5,500,0.2,Intercept,0.0119177016857325,0.03890002007514355,-0.07009053000000001,0.08749620750000003
5,500,0.2,agentd,0.107562471167,0.039152881062644536,0.030743735,0.18324315000000005
5,500,0.2,mat2v1,-0.3769364595,0.03174451192529511,-0.437157425,-0.313742075
5,500,0.2,mat3v1,0.18539521725,0.01967275214372101,0.147794175,0.2254841
6,500,0.2,Intercept,0.00113166848445,0.04888411374833505,-0.0988093675,0.09993317250000003
6,500,0.2,agentd,0.19751487595,0.03986986080277488,0.118981675,0.274600325
6,500,0.2,mat2v1,-0.34265108675,0.033174426027638974,-0.4065413,-0.2773568
6,500,0.2,mat3v1,0.21741488175,0.01893779957575483,0.17943177500000002,0.254982325
7,500,0.2,Intercept,0.031998718917475,0.05875304300914514,-0.09322029,0.14371387500000002
7,500,0.2,agentd,0.170967663025,0.041839880305386545,0.08904060750000001,0.2540051
7,500,0.2,mat2v1,-0.36179236275,0.03279633947483926,-0.42696035,-0.296772
7,500,0.2,mat3v1,0.18624462025,0.018262605317089394,0.150290775,0.22176427499999998
8,500,0.2,Intercept,0.03796799029815,0.0633932613856959,-0.09231384,0.15972202500000002
8,500,0.2,agentd,0.13931750945,0.04039316215178091,0.061469315000000004,0.21855655000000002
8,500,0.2,mat2v1,-0.43774016475,0.031470402500595615,-0.498571025,-0.377709875
8,500,0.2,mat3v1,0.204251194,0.018355843289892315,0.16669222500000003,0.240640725
9,500,0.2,Intercept,0.0306231768622975,0.06631304479665687,-0.10768509999999999,0.159035625
9,500,0.2,agentd,0.1769349783,0.03883813125216208,0.100039785,0.25141787499999996
